subject,f1_scores,auc_scores,class_accuracies,class_counts,feature_importances,f1,auc
1,"[0.5491909217804891, 0.5626712468817732, 0.6246360582306831, 0.5554496914222314, 0.5303258145363409]","[np.float64(0.9279732100218916), np.float64(0.9237953801730893), np.float64(0.9276550082471136), np.float64(0.9391788572529025), np.float64(0.8946257018599639)]","{np.str_('S1'): np.float64(0.5925925925925926), np.str_('S2'): np.float64(0.9393939393939394), np.str_('S3'): np.float64(0.8852459016393442), np.str_('S4'): np.float64(0.6666666666666666), np.str_('S5'): np.float64(0.25), np.str_('S6'): np.float64(0.0), np.str_('S7'): np.float64(0.030303030303030304)}","{np.str_('S1'): np.int64(27), np.str_('S2'): np.int64(33), np.str_('S3'): np.int64(122), np.str_('S4'): np.int64(15), np.str_('S5'): np.int64(28), np.str_('S6'): np.int64(28), np.str_('S7'): np.int64(33)}","{'spatial processing': np.float64(1.1225492160615487), 'sound localization': np.float64(0.9002579746972807), 'motor planning': np.float64(0.8944905264125401), 'object recognition': np.float64(0.7669545054376405), 'decision making': np.float64(0.7398649786833709), 'sensorimotor integration': np.float64(0.7335002693300857), 'visual spatial processing': np.float64(0.6925934250666621), 'speech perception': np.float64(0.6676223017403051), 'auditory processing': np.float64(0.6175497205359944), 'speech and language integration': np.float64(0.5235746785213207), 'spatial awareness': np.float64(0.49546819130701225), 'tactile processing': np.float64(0.43311756135866153), 'high-level visual processing': np.float64(0.409962445149431), 'language': np.float64(0.40966945250193537), 'primary auditory processing': np.float64(0.3773537670650117), 'auditory-motor integration': np.float64(0.36996855457553285), 'visual integration': np.float64(0.3671547453551173), 'motor cortex - movement of left limbs': np.float64(0.3179812482289361), 'working memory': np.float64(0.3111993829269015), 'attention': np.float64(0.2730810053239401), 'motor cortex - movement of right limbs': np.float64(0.270836976613069), 'visual attention': np.float64(0.2691247402055244), 'executive function': np.float64(0.2207047949390779), 'auditory association': np.float64(0.21729758322704645), 'conflict monitoring': np.float64(0.19307880621020063), 'primary visual cortex (left visual field)': np.float64(0.16039177685466574), 'emotional control': np.float64(0.1422912198739578), 'language processing': np.float64(0.11885432259449821), 'primary visual cortex (right visual field)': np.float64(0.10981409373406031), 'visual attention and processing': np.float64(0.0), 'visuospatial attention': np.float64(0.0), 'spatial attention': np.float64(0.0), 'visual association area': np.float64(0.0), 'sensorimotor function': np.float64(0.0), 'somatosensory integration': np.float64(0.0), 'motor cortex - fine motor control (left)': np.float64(0.0), 'motor cortex - fine motor control (right)': np.float64(0.0), 'motor cortex - movement of left side': np.float64(0.0), 'multisensory integration': np.float64(0.0), 'motor preparation': np.float64(0.0), 'motor cortex - movement of right side': np.float64(0.0), 'language and auditory attention': np.float64(0.0), 'motor control': np.float64(0.0), 'emotion': np.float64(0.0), 'executive control': np.float64(0.0), 'awareness': np.float64(0.0), 'central visual processing': np.float64(0.0), 'cognitive control': np.float64(0.0), 'auditory response': np.float64(0.0)}",0.5644547465703036,0.9226456315109921
2,"[0.10119047619047619, 0.3356009070294784, 0.23983193277310924, 0.35259740259740263, 0.3168181818181818]","[np.float64(0.7451062296263535), np.float64(0.6661424803839664), np.float64(0.6668311403508771), np.float64(0.6777519779841762), np.float64(0.7088310543515652)]","{np.str_('S1'): np.float64(0.1875), np.str_('S2'): np.float64(0.8947368421052632), np.str_('S3'): np.float64(0.42857142857142855), np.str_('S4'): np.float64(0.0), np.str_('S5'): np.float64(0.0), np.str_('S6'): np.float64(0.375), np.str_('S7'): np.float64(0.1)}","{np.str_('S1'): np.int64(16), np.str_('S2'): np.int64(19), np.str_('S3'): np.int64(14), np.str_('S4'): np.int64(10), np.str_('S5'): np.int64(7), np.str_('S6'): np.int64(16), np.str_('S7'): np.int64(20)}","{'motor planning': np.float64(0.9901341047264622), 'language': np.float64(0.9360085723406227), 'language processing': np.float64(0.7760888700796326), 'conflict monitoring': np.float64(0.6885473597733063), 'auditory processing': np.float64(0.6306805683453987), 'working memory': np.float64(0.4407546922459405), 'object recognition': np.float64(0.42551234549816064), 'decision making': np.float64(0.3655625574338045), 'emotional control': np.float64(0.35947960752111324), 'speech and language integration': np.float64(0.3435999146102944), 'sound localization': np.float64(0.29014719576709364), 'high-level visual processing': np.float64(0.27305677531869743), 'auditory-motor integration': np.float64(0.2637038758174634), 'speech perception': np.float64(0.2549155385722041), 'visual integration': np.float64(0.25434970082210784), 'visual spatial processing': np.float64(0.24323162475781096), 'primary visual cortex (left visual field)': np.float64(0.22711795964831713), 'primary auditory processing': np.float64(0.21863241190953073), 'primary visual cortex (right visual field)': np.float64(0.21861678983588237), 'executive function': np.float64(0.17283036122650505), 'attention': np.float64(0.1422641715403142), 'sensorimotor integration': np.float64(0.09428433989984451), 'visual attention': np.float64(0.08859339330746209), 'spatial processing': np.float64(0.070588668708948), 'motor cortex - movement of left limbs': np.float64(0.036920327759798414), 'tactile processing': np.float64(0.00921197277589538), 'spatial awareness': np.float64(0.004054601298416499), 'sensorimotor function': np.float64(0.0), 'somatosensory integration': np.float64(0.0), 'visual attention and processing': np.float64(0.0), 'visuospatial attention': np.float64(0.0), 'spatial attention': np.float64(0.0), 'visual association area': np.float64(0.0), 'language and auditory attention': np.float64(0.0), 'motor control': np.float64(0.0), 'motor cortex - fine motor control (left)': np.float64(0.0), 'motor cortex - fine motor control (right)': np.float64(0.0), 'motor cortex - movement of right limbs': np.float64(0.0), 'motor cortex - movement of left side': np.float64(0.0), 'motor preparation': np.float64(0.0), 'motor cortex - movement of right side': np.float64(0.0), 'multisensory integration': np.float64(0.0), 'executive control': np.float64(0.0), 'emotion': np.float64(0.0), 'cognitive control': np.float64(0.0), 'awareness': np.float64(0.0), 'central visual processing': np.float64(0.0), 'auditory response': np.float64(0.0), 'auditory association': np.float64(0.0)}",0.26920778008172963,0.6929325765393877
3,"[0.8219610286620594, 0.809584499937961, 0.7876710014528787, 0.7609106367510671, 0.7385215361390478]","[np.float64(0.9606383471083332), np.float64(0.9032490643635392), np.float64(0.932320773281287), np.float64(0.9169410264937368), np.float64(0.9547952924657283)]","{np.str_('S3'): np.float64(0.7566539923954373), np.str_('S5'): np.float64(0.9506172839506173), np.str_('S6'): np.float64(0.6341463414634146), np.str_('S7'): np.float64(0.8333333333333334)}","{np.str_('S3'): np.int64(263), np.str_('S5'): np.int64(81), np.str_('S6'): np.int64(123), np.str_('S7'): np.int64(18)}","{'language': np.float64(2.101810599706477), 'language processing': np.float64(1.6363396267556076), 'emotional control': np.float64(1.5320424526033516), 'working memory': np.float64(1.4356202969278546), 'conflict monitoring': np.float64(1.3340482541351897), 'auditory processing': np.float64(1.2346760813247495), 'motor cortex - movement of left limbs': np.float64(1.172405059170296), 'speech and language integration': np.float64(1.0928628442222046), 'decision making': np.float64(1.0833569276555148), 'spatial processing': np.float64(1.048324317399495), 'motor planning': np.float64(0.9999272373631571), 'sensorimotor integration': np.float64(0.8691012327698718), 'executive function': np.float64(0.8309728987361286), 'auditory association': np.float64(0.7736055998586563), 'speech perception': np.float64(0.7586032892387006), 'attention': np.float64(0.7533344258182625), 'primary auditory processing': np.float64(0.6895012780205408), 'auditory-motor integration': np.float64(0.6868683642525181), 'sound localization': np.float64(0.6606602423391719), 'object recognition': np.float64(0.3749405128079135), 'motor cortex - movement of right limbs': np.float64(0.3058379735878139), 'visual attention': np.float64(0.24465750848367906), 'primary visual cortex (right visual field)': np.float64(0.02418729633875977), 'primary visual cortex (left visual field)': np.float64(0.004485189299232197), 'somatosensory integration': np.float64(0.0), 'visual spatial processing': np.float64(0.0), 'visuospatial attention': np.float64(0.0), 'spatial awareness': np.float64(0.0), 'spatial attention': np.float64(0.0), 'visual attention and processing': np.float64(0.0), 'visual integration': np.float64(0.0), 'visual association area': np.float64(0.0), 'tactile processing': np.float64(0.0), 'sensorimotor function': np.float64(0.0), 'motor control': np.float64(0.0), 'motor cortex - fine motor control (left)': np.float64(0.0), 'motor cortex - fine motor control (right)': np.float64(0.0), 'motor cortex - movement of left side': np.float64(0.0), 'multisensory integration': np.float64(0.0), 'motor preparation': np.float64(0.0), 'motor cortex - movement of right side': np.float64(0.0), 'language and auditory attention': np.float64(0.0), 'emotion': np.float64(0.0), 'high-level visual processing': np.float64(0.0), 'executive control': np.float64(0.0), 'awareness': np.float64(0.0), 'central visual processing': np.float64(0.0), 'cognitive control': np.float64(0.0), 'auditory response': np.float64(0.0)}",0.7837297405886028,0.9335889007425248
5,"[0.567022607022607, 0.4658664567755477, 0.36784511784511786, 0.46299956082564775, 0.4905681818181818]","[np.float64(0.8365839674869912), np.float64(0.8168113828533619), np.float64(0.8390156736483573), np.float64(0.8006054038078347), np.float64(0.8607286535303778)]","{np.str_('S2'): np.float64(0.19047619047619047), np.str_('S3'): np.float64(0.9615384615384616), np.str_('S4'): np.float64(0.3333333333333333), np.str_('S5'): np.float64(0.34285714285714286), np.str_('S6'): np.float64(0.16666666666666666), np.str_('S7'): np.float64(0.3076923076923077)}","{np.str_('S2'): np.int64(21), np.str_('S3'): np.int64(52), np.str_('S4'): np.int64(18), np.str_('S5'): np.int64(35), np.str_('S6'): np.int64(12), np.str_('S7'): np.int64(26)}","{'auditory processing': np.float64(1.592614798323552), 'language processing': np.float64(1.2085898269920952), 'speech perception': np.float64(0.7744197796573192), 'language': np.float64(0.5588103065856063), 'motor planning': np.float64(0.5390929010935506), 'decision making': np.float64(0.537079380950025), 'sound localization': np.float64(0.5246061448297697), 'primary auditory processing': np.float64(0.43793773791171947), 'auditory-motor integration': np.float64(0.4064002828903322), 'spatial processing': np.float64(0.3674337366751851), 'object recognition': np.float64(0.32748331804801895), 'primary visual cortex (left visual field)': np.float64(0.295635552489936), 'speech and language integration': np.float64(0.2808968502413987), 'visual attention': np.float64(0.27133524704060635), 'sensorimotor integration': np.float64(0.25202446611663437), 'executive function': np.float64(0.2420559679698688), 'high-level visual processing': np.float64(0.21335204775281957), 'working memory': np.float64(0.19678846898847926), 'attention': np.float64(0.17469502355187186), 'auditory association': np.float64(0.1410811053465286), 'visual spatial processing': np.float64(0.13669342974597534), 'visual integration': np.float64(0.11794748802261544), 'primary visual cortex (right visual field)': np.float64(0.11217174486568514), 'conflict monitoring': np.float64(0.07317734848472579), 'spatial awareness': np.float64(0.06617226560171605), 'tactile processing': np.float64(0.06315341605062856), 'emotional control': np.float64(0.045538118147599276), 'motor cortex - movement of left limbs': np.float64(0.0299996966007995), 'somatosensory integration': np.float64(0.0), 'visual attention and processing': np.float64(0.0), 'visuospatial attention': np.float64(0.0), 'spatial attention': np.float64(0.0), 'visual association area': np.float64(0.0), 'sensorimotor function': np.float64(0.0), 'language and auditory attention': np.float64(0.0), 'motor cortex - fine motor control (left)': np.float64(0.0), 'motor cortex - fine motor control (right)': np.float64(0.0), 'motor cortex - movement of right limbs': np.float64(0.0), 'motor cortex - movement of left side': np.float64(0.0), 'motor preparation': np.float64(0.0), 'motor cortex - movement of right side': np.float64(0.0), 'multisensory integration': np.float64(0.0), 'motor control': np.float64(0.0), 'emotion': np.float64(0.0), 'executive control': np.float64(0.0), 'awareness': np.float64(0.0), 'central visual processing': np.float64(0.0), 'cognitive control': np.float64(0.0), 'auditory response': np.float64(0.0)}",0.4708603848574205,0.8307490162653846
6,"[0.10050818746470921, 0.06521739130434782, 0.11594202898550723, 0.10802139037433157, 0.08522727272727272]","[np.float64(0.5387127238385819), np.float64(0.5727198430859758), np.float64(0.5128945552286513), np.float64(0.49875770084748416), np.float64(0.5453677643306126)]","{np.str_('S1'): np.float64(0.0), np.str_('S2'): np.float64(0.0), np.str_('S3'): np.float64(0.6363636363636364), np.str_('S4'): np.float64(0.0), np.str_('S5'): np.float64(0.07142857142857142), np.str_('S6'): np.float64(0.23076923076923078), np.str_('S7'): np.float64(0.0)}","{np.str_('S1'): np.int64(10), np.str_('S2'): np.int64(15), np.str_('S3'): np.int64(22), np.str_('S4'): np.int64(23), np.str_('S5'): np.int64(14), np.str_('S6'): np.int64(13), np.str_('S7'): np.int64(16)}","{'sound localization': np.float64(0.798516302133583), 'auditory processing': np.float64(0.7291347943754193), 'speech perception': np.float64(0.7226278967359141), 'spatial processing': np.float64(0.42250336839160074), 'auditory association': np.float64(0.35212254979946733), 'auditory-motor integration': np.float64(0.2719690714544007), 'speech and language integration': np.float64(0.24264355276190994), 'primary auditory processing': np.float64(0.2087968250318498), 'visual attention': np.float64(0.20771886621667585), 'motor cortex - movement of left limbs': np.float64(0.18702114230027164), 'language': np.float64(0.17506278722247043), 'language processing': np.float64(0.17285563433828685), 'object recognition': np.float64(0.11568559233713659), 'sensorimotor integration': np.float64(0.10329188230849994), 'decision making': np.float64(0.06775965700027956), 'motor planning': np.float64(0.05826237868285332), 'working memory': np.float64(0.027103862800111827), 'attention': np.float64(0.024288816167531764), 'executive function': np.float64(0.024288816167531764), 'sensorimotor function': np.float64(0.0), 'somatosensory integration': np.float64(0.0), 'visual attention and processing': np.float64(0.0), 'visual integration': np.float64(0.0), 'visual association area': np.float64(0.0), 'tactile processing': np.float64(0.0), 'visual spatial processing': np.float64(0.0), 'visuospatial attention': np.float64(0.0), 'spatial awareness': np.float64(0.0), 'spatial attention': np.float64(0.0), 'motor cortex - movement of right side': np.float64(0.0), 'multisensory integration': np.float64(0.0), 'primary visual cortex (right visual field)': np.float64(0.0), 'primary visual cortex (left visual field)': np.float64(0.0), 'language and auditory attention': np.float64(0.0), 'motor control': np.float64(0.0), 'motor cortex - fine motor control (left)': np.float64(0.0), 'motor cortex - fine motor control (right)': np.float64(0.0), 'motor cortex - movement of right limbs': np.float64(0.0), 'motor cortex - movement of left side': np.float64(0.0), 'motor preparation': np.float64(0.0), 'high-level visual processing': np.float64(0.0), 'conflict monitoring': np.float64(0.0), 'emotion': np.float64(0.0), 'emotional control': np.float64(0.0), 'executive control': np.float64(0.0), 'awareness': np.float64(0.0), 'central visual processing': np.float64(0.0), 'cognitive control': np.float64(0.0), 'auditory response': np.float64(0.0)}",0.0949832541712337,0.5336905174662612
7,"[0.7771134756837821, 0.7166817428011458, 0.7548518896833504, 0.6733415016977384, 0.7691294213033344]","[np.float64(0.9659272742055801), np.float64(0.924584466482397), np.float64(0.9666091583854741), np.float64(0.9158541306518427), np.float64(0.9458024818318936)]","{np.str_('S3'): np.float64(0.2), np.str_('S5'): np.float64(0.7943548387096774), np.str_('S6'): np.float64(0.8387096774193549), np.str_('S7'): np.float64(0.22916666666666666)}","{np.str_('S3'): np.int64(5), np.str_('S5'): np.int64(248), np.str_('S6'): np.int64(31), np.str_('S7'): np.int64(48)}","{'executive function': np.float64(1.9617088065531185), 'attention': np.float64(1.9260285411892195), 'speech perception': np.float64(1.8774287463061226), 'decision making': np.float64(1.8705260309467138), 'language': np.float64(1.7201543045602523), 'sound localization': np.float64(1.6537608936474433), 'motor planning': np.float64(1.0103384400259134), 'auditory processing': np.float64(0.9986848996147483), 'high-level visual processing': np.float64(0.8907260770676141), 'auditory-motor integration': np.float64(0.7544135021798057), 'language processing': np.float64(0.7065896092552411), 'primary visual cortex (right visual field)': np.float64(0.595891091687803), 'working memory': np.float64(0.5691627614909647), 'auditory association': np.float64(0.56051389414047), 'primary auditory processing': np.float64(0.5138089398597597), 'spatial processing': np.float64(0.478561560664176), 'conflict monitoring': np.float64(0.47037540359726276), 'visual attention': np.float64(0.32451113645584656), 'primary visual cortex (left visual field)': np.float64(0.2568600352725636), 'emotional control': np.float64(0.24473118047657758), 'object recognition': np.float64(0.21476667441856412), 'motor cortex - movement of left limbs': np.float64(0.19372895663959425), 'sensorimotor integration': np.float64(0.19115102099600376), 'speech and language integration': np.float64(0.13772687829708402), 'visual integration': np.float64(0.08426150031466247), 'visuospatial attention': np.float64(0.0), 'somatosensory integration': np.float64(0.0), 'spatial awareness': np.float64(0.0), 'spatial attention': np.float64(0.0), 'visual attention and processing': np.float64(0.0), 'visual spatial processing': np.float64(0.0), 'visual association area': np.float64(0.0), 'tactile processing': np.float64(0.0), 'sensorimotor function': np.float64(0.0), 'language and auditory attention': np.float64(0.0), 'motor cortex - fine motor control (left)': np.float64(0.0), 'motor cortex - fine motor control (right)': np.float64(0.0), 'motor cortex - movement of right limbs': np.float64(0.0), 'motor cortex - movement of left side': np.float64(0.0), 'motor preparation': np.float64(0.0), 'motor cortex - movement of right side': np.float64(0.0), 'multisensory integration': np.float64(0.0), 'motor control': np.float64(0.0), 'emotion': np.float64(0.0), 'executive control': np.float64(0.0), 'awareness': np.float64(0.0), 'central visual processing': np.float64(0.0), 'cognitive control': np.float64(0.0), 'auditory response': np.float64(0.0)}",0.7382236062338703,0.9437555023114376
8,"[0.2930429522081065, 0.22619014379449948, 0.3239587998208688, 0.27783251231527095, 0.3208128078817734]","[np.float64(0.7425464190981433), np.float64(0.7296689262206504), np.float64(0.7209244523037626), np.float64(0.6924403183023872), np.float64(0.6755702917771884)]","{np.str_('S1'): np.float64(0.3076923076923077), np.str_('S2'): np.float64(0.0), np.str_('S3'): np.float64(0.6444444444444445), np.str_('S4'): np.float64(0.045454545454545456), np.str_('S5'): np.float64(0.1111111111111111), np.str_('S6'): np.float64(0.5333333333333333), np.str_('S7'): np.float64(0.0)}","{np.str_('S1'): np.int64(13), np.str_('S2'): np.int64(16), np.str_('S3'): np.int64(45), np.str_('S4'): np.int64(22), np.str_('S5'): np.int64(18), np.str_('S6'): np.int64(15), np.str_('S7'): np.int64(16)}","{'object recognition': np.float64(0.8803343611648703), 'decision making': np.float64(0.7787526548386258), 'speech and language integration': np.float64(0.5479693830514558), 'high-level visual processing': np.float64(0.515440568664213), 'language processing': np.float64(0.4569557205754536), 'visual integration': np.float64(0.43565355799539035), 'auditory processing': np.float64(0.4348748148266911), 'spatial processing': np.float64(0.3856720949584431), 'visual spatial processing': np.float64(0.3777035182859323), 'auditory-motor integration': np.float64(0.3387554079771284), 'executive function': np.float64(0.2982650247694878), 'attention': np.float64(0.2909429171263325), 'language': np.float64(0.29037687353972474), 'working memory': np.float64(0.2902237770654558), 'visual attention': np.float64(0.27070700432220524), 'sound localization': np.float64(0.255229978967244), 'motor planning': np.float64(0.25245553542751853), 'speech perception': np.float64(0.18967529683626538), 'motor cortex - movement of left limbs': np.float64(0.17452375761498004), 'auditory association': np.float64(0.17220245828941344), 'spatial awareness': np.float64(0.1313282897530083), 'sensorimotor integration': np.float64(0.10293468835207609), 'primary visual cortex (left visual field)': np.float64(0.09138512936872155), 'conflict monitoring': np.float64(0.05945057586033372), 'emotional control': np.float64(0.03699591767309183), 'sensorimotor function': np.float64(0.0), 'somatosensory integration': np.float64(0.0), 'spatial attention': np.float64(0.0), 'tactile processing': np.float64(0.0), 'visual attention and processing': np.float64(0.0), 'visuospatial attention': np.float64(0.0), 'visual association area': np.float64(0.0), 'multisensory integration': np.float64(0.0), 'language and auditory attention': np.float64(0.0), 'motor control': np.float64(0.0), 'motor cortex - fine motor control (left)': np.float64(0.0), 'motor cortex - fine motor control (right)': np.float64(0.0), 'motor cortex - movement of right limbs': np.float64(0.0), 'motor cortex - movement of left side': np.float64(0.0), 'motor preparation': np.float64(0.0), 'motor cortex - movement of right side': np.float64(0.0), 'primary visual cortex (right visual field)': np.float64(0.0), 'primary auditory processing': np.float64(0.0), 'emotion': np.float64(0.0), 'executive control': np.float64(0.0), 'awareness': np.float64(0.0), 'central visual processing': np.float64(0.0), 'cognitive control': np.float64(0.0), 'auditory response': np.float64(0.0)}",0.2883674432041038,0.7122300815404264
